Species Wavelength(microns) 
Na 0.5901 
Na 1.1419 
K 0.7658 
K 0.5811 
K 1.1779 
H2O 2.6892 
H2O 2.8536 
H2O 1.4234 
H2O 2.9122 
H2O 1.8581 
H2O 2.5676 
H2O 2.7770 
H2O 1.3604 
H2O 3.0158 
H2O 2.9707 
H2O 1.1329 
H2O 1.9437 
H2O 0.9392 
H2O 1.3784 
H2O 2.6216 
H2O 2.8221 
H2O 4.7860 
H2O 1.9797 
H2O 1.1464 
H2O 4.6734 
CH4 3.3378 
CH4 3.1937 
CH4 2.3378 
CH4 3.4459 
CH4 2.2973 
CH4 2.3784 
CH4 2.2095 
CH4 1.6757 
CH4 1.3964 
CH4 1.7027 
CO 4.3288 
CO 2.7050 
CO 2.8401 
CO 2.0293 
CO 4.7860 
CO 1.9572 
CO 4.6959 
CO 1.5856 
CO 1.4685 
CO 1.6306 
CO 2.6081 
CO 2.0968 
CO 1.8041 
CO 1.2365 
CO 1.5225 
CO2 4.3288 
CO2 2.7050 
CO2 2.8401 
CO2 2.0293 
CO2 4.7860 
CO2 1.9572 
CO2 4.6959 
CO2 1.5856 
CO2 1.4685 
CO2 1.6306 
CO2 2.6081 
CO2 2.0968 
CO2 1.8041 
CO2 1.2365 
CO2 1.5225 
HCN 3.0158 
HCN 2.3243 
HCN 1.9662 
HCN 1.5135 
HCN 2.9572 
HCN 2.2838 
HCN 2.8986 
HCN 2.8536 
HCN 1.4775 
HCN 2.0293 
HCN 3.0743 
HCN 4.0360 
HCN 1.2140 
HCN 2.8221 
HCN 2.6081 
NH3 3.0743 
NH3 3.5721 
NH3 3.8896 
NH3 2.5270 
NH3 4.7410 
NH3 1.5495 
NH3 1.8761 
NH3 3.0023 
NH3 4.8086 
NH3 1.4144 
NH3 2.8851 
NH3 3.9347 
NH3 2.0608 
NH3 1.6577 
NH3 1.5676 
